  
 ------------------------
 2D Mesh Quality Measures
 ------------------------
  
Signed Area     Aspect Ratio    Condition       Edge Ratio      Jacobian        Minimum Angle   Maximum Angle   Area Sign       
      1.0356E-01      1.1113E+00      1.0516E+00      1.2099E+00      8.1917E-02      8.3943E+01      1.0802E+02      1.0000E+00
      1.3302E-01      1.0692E+00      1.0071E+00      1.0971E+00      1.2621E-01      8.5714E+01      9.5082E+01      1.0000E+00
      1.0855E-01      1.1186E+00      1.0995E+00      1.1851E+00      8.7084E-02      7.5872E+01      1.1453E+02      1.0000E+00
      1.3115E-01      1.0712E+00      1.0056E+00      1.0967E+00      1.2508E-01      8.6761E+01      9.3220E+01      1.0000E+00
      1.2512E-01      1.0092E+00      1.0010E+00      1.0225E+00      1.2422E-01      8.7669E+01      9.2216E+01      1.0000E+00
      1.2746E-01      1.0174E+00      1.0070E+00      1.0383E+00      1.2481E-01      8.4021E+01      9.6544E+01      1.0000E+00
      1.0294E-01      1.1126E+00      1.0558E+00      1.2079E+00      8.1599E-02      8.3040E+01      1.0871E+02      1.0000E+00
      1.2969E-01      1.0795E+00      1.0083E+00      1.1236E+00      1.2270E-01      8.6910E+01      9.4204E+01      1.0000E+00
      9.7762E-02      1.1625E+00      1.0708E+00      1.3634E+00      7.2752E-02      8.0763E+01      1.1010E+02      1.0000E+00
      1.3530E-01      1.3009E+00      1.2366E+00      1.5862E+00      7.5377E-02      7.4015E+01      1.2581E+02      1.0000E+00
      1.3562E-01      1.2999E+00      1.2423E+00      1.5869E+00      7.4999E-02      7.3908E+01      1.2617E+02      1.0000E+00
      2.1613E-01      1.3612E+00      1.1005E+00      1.5928E+00      1.6339E-01      7.4556E+01      1.0700E+02      1.0000E+00
      1.4851E-01      1.2274E+00      1.0976E+00      1.5229E+00      9.7205E-02      7.3233E+01      1.1334E+02      1.0000E+00
      1.8372E-01      1.9797E+00      1.5203E+00      2.4450E+00      8.0381E-02      5.1951E+01      1.3213E+02      1.0000E+00
      1.4900E-01      1.2560E+00      1.0950E+00      1.5163E+00      1.3225E-01      7.5153E+01      9.9959E+01      1.0000E+00
      1.2604E-01      1.3494E+00      1.2049E+00      1.7638E+00      6.8807E-02      6.9124E+01      1.2279E+02      1.0000E+00
      1.3270E-01      1.3158E+00      1.2559E+00      1.5869E+00      7.2548E-02      7.4025E+01      1.2711E+02      1.0000E+00
      2.1022E-01      1.3827E+00      1.1079E+00      1.5979E+00      1.6072E-01      7.4436E+01      1.0609E+02      1.0000E+00
      1.3504E-01      1.3018E+00      1.2327E+00      1.5849E+00      7.5543E-02      7.4027E+01      1.2557E+02      1.0000E+00
      1.3512E-01      1.3017E+00      1.2351E+00      1.5881E+00      7.5258E-02      7.3887E+01      1.2572E+02      1.0000E+00
      2.1176E-01      1.3771E+00      1.1032E+00      1.6007E+00      1.6284E-01      7.4449E+01      1.0555E+02      1.0000E+00
